UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,OFI,2022-09-26,LUNES,372.39731498,353.93634953,344.01203518,340.31763026,346.48097672,363.61654023,382.5340958,425.10746365,479.51572147,516.09621921,546.00573662,568.03255071,575.33745024,573.3533496,576.11262139,573.78818163,558.5895284,525.91082516,533.25081897,544.93608541,525.91121161,495.8472289,456.09666727,414.81339705,11391.99999999,547.0,555.0,537.0
MC-Cali,OFI,2022-09-27,MARTES,383.48168043,368.89774415,360.03776201,354.19150204,356.74595999,373.32143956,392.64420569,435.5513309,482.83348171,515.60850518,547.34302335,570.44313799,571.52543436,572.89437657,580.00392127,582.62312897,572.51497048,535.55725877,537.46491706,549.80159536,531.63887201,500.46514839,461.56511307,421.8454907,11559.00000001,546.0,568.0,548.0
MC-Cali,OFI,2022-09-28,MIERCOLES,390.8717865,374.30276436,364.42742001,360.33420177,362.90560082,374.53886252,394.07964384,434.29924544,483.61133335,513.3815351,542.10238168,565.57686751,573.39255632,575.27164607,580.13620527,582.40056703,571.5982352,534.87163428,535.30212421,548.00639191,527.88376942,498.64260789,462.06893923,422.99368027,11573.0,551.0,550.0,539.0
MC-Cali,OFI,2022-09-29,JUEVES,393.30502175,373.22955213,364.337796,358.68544334,362.33956127,375.03160738,391.90039521,436.13429995,487.41308474,519.66692706,547.95515652,573.04486013,573.33145954,571.20164207,576.80682681,579.12467954,571.70798138,537.26322408,537.63497563,547.05764411,530.62750638,500.60017439,462.34525936,423.25492122,11593.99999999,556.0,555.0,541.0
MC-Cali,OFI,2022-09-30,VIERNES,394.22095833,372.98575947,365.97695079,361.22020378,364.18678491,374.5107119,391.01598824,437.60178296,488.13083714,518.38807149,551.15204185,570.63982053,575.65774157,571.22195765,577.01657697,574.71982079,564.18267051,532.53050192,534.18231446,539.58745809,516.98583696,488.65104413,459.21505281,424.01911273,11547.99999998,552.0,547.0,526.0
MC-Cali,OFI,2022-08-01,LUNES,368.7687948,350.48770708,340.66009207,337.00168425,343.10497704,360.0735771,378.80680607,420.96535266,474.84347384,511.06754292,540.68563157,562.49782344,569.73154636,567.76677816,570.4991645,568.19737332,553.14681091,520.78651849,528.05499375,539.6264027,520.78690117,491.01585228,451.6526074,410.77158814,11281.00000002,541.0,550.0,532.0
MC-Cali,OFI,2022-08-02,MARTES,383.05039209,368.48285785,359.63284022,353.79315534,356.34474037,372.90157809,392.20261259,435.06148167,482.29045591,515.02861846,546.72744594,569.80158069,570.88265984,572.25006245,579.3516113,581.96787327,571.87108307,534.9549364,536.8604492,549.18325288,531.0409565,499.90229287,461.04600706,421.37105594,11546.0,545.0,567.0,548.0
MC-Cali,OFI,2022-08-03,MIERCOLES,390.50026748,373.946994,364.08103604,359.99170836,362.56066333,374.18286775,393.70507579,433.88644913,483.15166648,512.893572,541.58711976,565.03929337,572.84755346,574.72485715,579.58479264,581.84700216,571.05493782,534.3632451,534.79332585,547.4855183,527.38202212,498.16865398,461.62974815,422.59162977,11561.99999999,550.0,550.0,539.0
MC-Cali,OFI,2022-08-04,JUEVES,392.18555775,372.16722893,363.3007814,357.66451703,361.30823425,373.96415498,390.78492919,434.89293097,486.02576097,518.18779918,546.39551187,571.41380265,571.69958632,569.57583094,575.16506165,577.47631708,570.08072906,535.73401187,536.1047053,545.50055404,529.11718141,499.17531621,461.02928614,422.05021082,11561.00000001,555.0,554.0,539.0
MC-Cali,OFI,2022-08-05,VIERNES,395.2450862,373.95472144,366.92770491,362.15860057,365.13288844,375.48363547,392.03179008,438.73860782,489.39892903,519.73476721,552.58385353,572.12225858,577.15321544,572.70590801,578.5155809,576.21285808,565.64833384,533.91393758,535.57004129,540.98922669,518.32888988,489.92048744,460.40802576,425.12065181,11578.0,553.0,548.0,527.0
MC-Cali,OFI,2022-08-06,SABADO,397.78280728,378.38602929,368.25729846,360.89734451,361.69535208,365.44662753,373.17111137,403.08762864,448.3209719,481.7022277,510.78834682,525.64891762,528.30994394,516.9910736,501.90400391,494.74779046,487.00032441,476.65946384,502.40119139,511.66617103,491.63392695,457.87011296,428.05256278,399.57877152,10771.99999999,529.0,524.0,523.0
MC-Cali,OFI,2022-08-07,7--AGO,355.72491241,336.17601759,324.4083816,314.29980333,311.71508028,308.44586419,293.91276493,306.42148382,332.71515765,356.30422573,376.40556211,395.32669347,409.25284402,407.85669162,401.15657034,396.84311939,393.65929585,392.41842245,422.52866131,440.21008001,433.64459465,422.83726551,401.99775419,372.73875355,8907.0,439.0,443.0,435.0
MC-Cali,OFI,2022-08-08,LUNES,361.60982254,343.68362873,334.04679891,330.45941239,336.4442209,353.08340661,371.45296416,412.79307961,465.62525552,501.1461005,530.18920808,551.57795611,558.67124952,556.7446237,559.42396575,557.16685965,542.4084764,510.67639992,517.80377102,529.15054221,510.67677517,481.4836768,442.88459738,402.79720841,11061.99999999,531.0,539.0,522.0
MC-Cali,OFI,2022-08-09,MARTES,382.0219353,367.49351361,358.66725751,352.84325167,355.38798592,371.90036997,391.14958288,433.89337965,480.99554822,513.64581167,545.25953057,568.27171329,569.34988984,570.71362109,577.7961029,580.40534043,570.33565924,533.51862919,535.41902586,547.70874388,529.61515798,498.56009894,459.80813886,420.23971152,11514.99999999,544.0,566.0,546.0
MC-Cali,OFI,2022-08-10,MIERCOLES,392.39163705,375.75818857,365.84444532,361.73531117,364.31670875,375.99520477,395.6119677,435.98795762,485.49178872,515.37774775,544.21027136,567.77603446,575.62211348,577.50850981,582.39198417,584.66515059,573.82081539,536.95140819,537.38357203,550.13723851,529.936372,500.58151028,463.86563,424.63843233,11618.00000002,553.0,552.0,542.0
MC-Cali,OFI,2022-08-11,JUEVES,395.44218032,375.2576237,366.31755115,360.63448448,364.30845832,377.06947103,394.02992125,438.50418617,490.06161194,522.49071664,550.93265996,576.15869713,576.44685388,574.30546331,579.94110576,582.27155334,574.81455399,540.18262922,540.55640081,550.0302706,533.51085405,503.3203582,464.85757188,425.5548229,11657.00000003,559.0,558.0,544.0
