UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,Demanda_Real,2022-09-03,SABADO,402.61901,387.33199,377.12201,369.14398,367.54012,370.66649,376.21761,422.325,466.39267,506.67615,535.37439,550.93851,557.41531,539.23829,523.90891,527.11733,528.76099,522.09463,533.65542,533.86268,509.60523,476.80099,441.61958,409.97,11236.39729,528.0,527.0,513.0
MC-Cali,Demanda_Real,2022-09-04,DOMINGO,384.89401,367.82939,355.74284,336.43558,321.72908,315.99462,298.94942,316.62802,342.47079,370.52644,397.53056,414.94525,431.16343,432.84585,424.58365,421.1498,413.58638,411.58936,443.45349,460.15052,453.68322,436.75881,413.57215,386.24513,9352.45779,454.0,455.0,454.0
MC-Cali,Demanda_Real,2022-09-05,LUNES,362.01221,346.19108,337.01906,332.38218,335.38851,356.40547,376.08506,433.7278,490.107,522.7902,569.0309,597.17266,603.03665,592.81579,611.13017,610.40627,596.69282,563.48839,572.7923,572.56204,551.1159,514.0114,472.70492,437.2731,11756.34188,566.0,562.0,546.0
MC-Cali,Demanda_Real,2022-09-06,MARTES,407.35197,389.02897,377.96176,373.3287,379.19792,398.2322,416.0505,457.55133,506.33068,541.58462,575.78478,594.15424,605.79378,608.38631,611.52065,619.71975,606.36284,568.29955,579.20871,579.53765,554.72296,517.83264,474.51861,436.17102,12178.63214,573.0,570.0,559.0
MC-Cali,Demanda_Real,2022-09-07,MIERCOLES,399.86333,383.14152,373.78999,369.45986,372.0745,388.95485,409.70659,459.3914,510.864,545.46048,573.59673,597.19223,604.67512,602.10334,616.48112,614.93414,596.71078,558.98085,562.57385,565.24629,547.29296,506.23987,465.91154,431.14936,12055.7947,562.0,560.0,545.0
MC-Cali,Demanda_Real,2022-09-08,JUEVES,400.82789,384.68206,373.75539,354.02657,358.44486,378.63119,392.47999,439.28319,496.95154,535.90718,566.71856,591.94962,591.88877,590.65197,602.26455,603.05352,586.56548,547.03351,547.25686,551.38465,532.43076,495.73179,453.58495,418.35389,11793.85874,547.0,545.0,530.0
MC-Cali,Demanda_Real,2022-09-09,VIERNES,391.10125,373.53848,362.39077,356.78605,364.07605,385.08868,401.37199,454.02892,507.34986,545.51292,572.17794,593.76827,592.99917,593.58372,605.3524,606.8238,593.75662,555.84437,558.04405,558.73888,535.37444,499.13968,461.76649,427.82365,11896.43845,556.0,554.0,537.0
MC-Cali,Demanda_Real,2022-09-10,SABADO,398.77108,379.82576,368.70844,365.88554,366.97985,368.4043,385.17489,426.31739,471.13904,520.73683,554.66571,565.54484,557.8844,543.52243,529.56264,517.72078,497.97048,493.23519,526.45815,514.16452,502.95374,459.57129,418.89625,388.46624,11122.55978,524.0,518.0,504.0
MC-Cali,Demanda_Real,2022-09-11,DOMINGO,356.47017,338.51823,326.70079,317.64394,319.97632,332.77011,331.28519,347.96643,374.16456,402.80143,422.14783,441.06592,459.47745,456.52804,450.62549,440.75763,440.95307,444.71283,481.55923,498.99819,484.89019,468.30366,443.87641,413.8173,9796.01041,481.0,483.0,477.0
MC-Cali,Demanda_Real,2022-09-12,LUNES,390.72887,375.04508,367.70616,360.75653,363.98667,390.04854,415.63761,464.70123,509.10981,545.46401,586.60477,607.89195,610.89296,613.14599,624.27578,616.84206,603.50773,574.22416,579.18413,570.9508,531.89169,500.33887,447.03155,414.35095,12064.3179,574.0,563.0,544.0
